model,severity,accuracy,accuracy_std,balanced_accuracy,malignant_recall,benign_recall,ece,ece_std,temp_ece,brier,log_loss,delta_accuracy,delta_balanced_accuracy,delta_malignant_recall,delta_ece,delta_brier,delta_log_loss
logistic,0.25,0.9771929824561404,0.004804583837764574,0.9740079365079366,0.9619047619047618,0.986111111111111,0.030943576180418774,0.005023338943817014,0.02452154339017471,0.04867524678596653,0.08719410625469295,-0.0052631578947367474,-0.0071428571428571175,-0.014285714285714346,-0.005207021005524639,0.00027627196473089394,0.000553080121788771
logistic,0.5,0.9701754385964912,0.00480458383776463,0.966468253968254,0.9523809523809523,0.9805555555555555,0.025031674173825798,0.003875132988680668,0.018825199757420738,0.04911453395897074,0.08745410442702636,-0.012280701754385892,-0.014682539682539741,-0.023809523809523836,-0.011118923012117615,0.0007155591377350987,0.0008130782941221798
logistic,0.75,0.9754385964912281,0.007339123039772571,0.9736111111111111,0.9666666666666666,0.9805555555555555,0.03013824767970778,0.006793957281410857,0.0234180175082602,0.04880099198705222,0.08750277343484789,-0.007017543859649034,-0.007539682539682624,-0.009523809523809601,-0.0060123495062356334,0.00040201716581658026,0.0008617473019437022
logistic,1.0,0.968421052631579,0.004804583837764639,0.9670634920634921,0.9619047619047618,0.9722222222222221,0.02484464694367953,0.004160180428470778,0.016814154547024514,0.051455979179121605,0.09067795672045499,-0.014035087719298178,-0.014087301587301648,-0.014285714285714346,-0.011305950242263885,0.003057004357885966,0.004036930587550808
logistic,1.5,0.9666666666666666,0.011437197202109952,0.9636904761904761,0.9523809523809523,0.975,0.03058296641776692,0.005359978698292662,0.022236011200365512,0.053284684241163005,0.09341373663583988,-0.015789473684210575,-0.01746031746031762,-0.023809523809523836,-0.005567630768176492,0.004885709419927366,0.006772710502935694
logistic,2.0,0.9614035087719298,0.00480458383776463,0.9595238095238094,0.9523809523809523,0.9666666666666666,0.035261343895267305,0.006477611320502093,0.02297854853778972,0.052396781274258175,0.09076500442935488,-0.021052631578947323,-0.021626984126984272,-0.023809523809523836,-0.0008892532906761078,0.003997806453022536,0.004123978296450698
neural_net,0.25,0.9578947368421054,0.003922926276315417,0.9617063492063492,0.976190476190476,0.9472222222222222,0.02295891349775751,0.0031332087879069586,0.018692718379234485,0.05077834562307215,0.10383299351191946,0.0017543859649123972,0.001388888888888995,-1.1102230246251565e-16,-0.0015562918102532443,-4.7899761842468136e-05,0.0005256466082084466
neural_net,0.5,0.9578947368421054,0.007339123039772615,0.9607142857142857,0.9714285714285713,0.95,0.02804253153633653,0.002533717072486119,0.02198293471301256,0.05196750998890587,0.10433943836671426,0.0017543859649123972,0.00039682539682550644,-0.004761904761904856,0.0035273262283257757,0.0011412646039912488,0.0010320914630032457
neural_net,0.75,0.9578947368421054,0.007339123039772622,0.9607142857142857,0.9714285714285713,0.95,0.023971335197749903,0.008991487405029829,0.02065504136638553,0.05194206472298289,0.10565981897584127,0.0017543859649123972,0.00039682539682550644,-0.004761904761904856,-0.0005438701102608509,0.0011158193380682718,0.0023524720721302544
neural_net,1.0,0.9543859649122807,0.007339123039772622,0.9579365079365079,0.9714285714285713,0.9444444444444444,0.02664964073582703,0.005788246767490018,0.0216487858407878,0.05638747917920754,0.11033446773826014,-0.0017543859649122862,-0.0023809523809523725,-0.004761904761904856,0.002134435427816276,0.005561233794292922,0.007027120834549122
neural_net,1.5,0.9614035087719298,0.010001538816659137,0.9634920634920634,0.9714285714285713,0.9555555555555555,0.02583629478488054,0.008212092096646749,0.01613502237796482,0.05663738767776048,0.11540969293562471,0.0052631578947368585,0.0031746031746031633,-0.004761904761904856,0.0013210894768697842,0.005811142292845857,0.012102346031913694
neural_net,2.0,0.9596491228070174,0.004804583837764643,0.959126984126984,0.9571428571428571,0.961111111111111,0.029563314245458223,0.00870697836698033,0.02690957510059368,0.05839652398892031,0.10906263919444781,0.0035087719298244613,-0.0011904761904761862,-0.01904761904761909,0.005048108937447469,0.007570278604005692,0.005755292290736791
